id,anganwadi_centers,anganwadi_workers,anganwadi_helpers,aadhar_verified_beneficiaries,eligible_beneficiaries
27211,172,163,126,6698,6737
27212,13,13,13,441,442
27213,661,611,644,28555,28577
27214,9,9,9,810,810
27285,774,637,521,51934,52142
27286,1267,1053,889,106339,106355
27287,1806,1450,1072,171077,171083
27288,1697,1352,996,159782,159787
27289,2023,1500,1233,152548,152749
27290,1336,1072,700,120031,120063
27291,2035,1587,1252,145943,145994
27292,2080,1676,1381,114196,114203
27293,1162,1077,1010,116995,117103
27294,941,789,645,70283,70288
27295,1401,1196,1050,100875,100876
27296,1052,840,592,69985,69997
27297,1796,1453,926,119134,119501
27298,2001,1812,1304,175967,175978
27299,692,546,451,49289,49345
27300,633,520,420,40727,40727
27301,1599,1252,1085,99931,99949
27302,491,417,350,40058,40060
27303,1799,1143,946,108119,108381
27304,1454,1114,834,89544,76201
27305,959,734,605,74204,74291
27306,2697,2220,1906,226404,226707
27307,1552,1284,819,74034,74097
27308,1301,1068,901,94688,94689
27309,1749,1416,1137,128786,129057
27310,492,398,311,22884,22888
27311,1065,773,630,57758,57821
27312,1762,1565,1328,143126,143320
27313,1260,1030,789,65924,66004
27314,1505,1320,1146,95241,95348
27315,1850,1597,1375,186037,186089
27316,1261,1072,885,96455,96462
27317,969,894,786,86971,87270
27318,1512,1272,1118,128510,128522
27319,2143,1833,1546,162670,162688
27320,1075,974,750,92300,92397
27321,1788,1458,1290,133638,133756
27322,1504,1179,1106,137140,111878
27323,1290,1104,675,47656,47758
27324,2061,1865,1039,77306,60440
27325,788,714,547,40638,40681
27326,970,771,570,99817,99883
27327,1065,994,710,76733,76802
27328,695,667,508,26900,26922
27329,644,603,499,29921,23042
27330,713,647,435,47923,48007
27331,1193,1091,749,68073,68154
27332,777,721,550,48484,48486
27333,1840,1701,1188,74071,74094
27334,1006,868,559,52236,41779
27335,1437,1321,968,40464,40473
27336,1163,1111,843,54034,54107
27337,974,872,580,37581,37621
27338,1076,1023,735,56388,56439
27339,793,722,547,106245,106245
27340,640,544,321,18028,18056
27341,1132,990,593,43993,44038
27342,2093,1950,1391,81975,82024
27343,704,679,514,45420,45470
27344,931,827,546,52859,52942
27345,1501,1429,920,118115,118236
27346,706,654,488,36814,36842
27347,586,528,406,37818,37827
27348,1602,1504,1103,121182,121251
27349,1504,1426,1094,100839,100920
27350,1150,1062,864,71446,71449
27351,1209,1133,916,52450,52488
27352,1129,1058,758,54123,54235
27353,589,567,387,23018,23050
27354,919,837,617,47761,47828
27355,901,841,636,46894,46937
27481,3314,3147,1801,97823,97737
27482,1908,1872,1656,83152,83164
27483,2302,2278,2022,149217,149263
27484,2275,2184,1741,93102,93113
27485,1888,1844,1838,63034,63043
27486,2420,2349,2054,99596,99598
27487,1726,1666,1620,73516,73525
27488,1556,1488,1411,84620,84622
27489,2226,2194,1968,101219,101224
27490,1480,1447,1413,98796,98805
27491,1986,1960,1904,94569,94581
27492,1707,1621,1516,76917,76920
27493,1886,1866,1792,176041,176058
27494,0,0,0,0,0
27495,1663,1635,1588,119646,119686
27496,1475,1228,1302,97305,97313
27497,2031,1953,1900,104348,104374
27498,2075,2026,1432,55120,50859
27499,0,0,0,0,0
27500,2903,2818,2602,113241,113279
27501,2934,2852,2540,119315,119347
27502,2824,2759,2300,96978,97011
27503,3385,3254,2665,103808,103830
27504,2492,2458,2059,103370,103391
27505,776,765,685,97022,97039
27506,2499,2445,2143,75986,75992
27507,1626,1605,1520,85778,85792
27508,2389,2313,2172,122875,119625
27766,2444,2326,2068,157670,157786
27767,1358,1305,1173,120272,120308
27768,5656,5451,4799,402347,402354
27769,1277,1188,987,57512,57512
27770,1586,1456,1182,53542,53544
27771,2877,2547,2247,228992,229007
27772,2051,1840,1703,134848,135075
27773,1444,1338,1188,46383,46387
27774,2014,1971,1788,72413,72429
27775,1858,1772,1520,55974,55975
27776,2428,2350,2137,128474,128482
27777,2131,2067,2029,121636,121636
27778,1771,1717,1565,118612,118618
27779,1622,1561,1327,127617,127624
27780,1248,1196,1161,88791,88794
27781,2691,2449,1949,79847,79849
27782,1991,1936,1839,130626,130627
27783,3420,3217,2646,232655,232755
27784,888,814,699,25714,25717
27785,2180,2051,1728,96522,96526
27786,1960,1859,1738,148464,148477
27787,2558,2448,2011,79992,79995
27788,2933,2765,2570,139404,139415
27789,2856,2753,2358,227397,186071
27790,2563,2463,2045,103915,103915
27791,4199,3877,3275,151519,151519
27792,1222,1206,1088,52506,52509
27793,2782,2692,2472,87217,87220
27794,1591,1564,1426,121992,122049
27795,2755,2525,1964,233508,233554
27796,1568,1409,1218,155969,129942
27797,2150,2150,2133,75960,76368
27798,2858,2857,2849,141342,141942
27799,1561,1556,1538,48568,48656
27800,2504,2504,2500,102155,102514
27801,1348,1348,1348,80287,81123
27802,2723,2720,2711,115300,115653
27803,2050,2050,2043,61931,62062
27804,2938,2935,2923,198881,199852
27805,3808,3806,3803,439768,439815
27806,2838,2838,2818,174831,174880
27807,1389,1388,1375,39094,39107
27808,3061,3055,3004,146224,147300
27809,3016,3014,3006,151670,152105
27810,876,876,876,67741,51093
27991,172,164,144,6897,6931
27992,13,13,13,484,486
27993,661,612,650,29029,29045
27994,9,9,9,808,808
28065,774,637,521,52389,52581
28066,1267,1051,888,105985,105999
28067,1806,1436,1067,171851,171856
28068,1697,1350,1008,160666,160672
28069,2023,1459,1233,152622,152784
28070,1336,1090,784,119305,119330
28071,2035,1569,1250,145526,145574
28072,2080,1682,1389,114717,114724
28073,1162,1030,1009,116795,116889
28074,941,786,648,69778,69787
28075,1401,1190,1049,101519,101521
28076,1052,838,592,69791,69798
28077,1796,1431,928,119503,119815
28078,2001,1786,1304,176130,176142
28079,692,546,451,49488,49527
28080,633,519,420,40760,40760
28081,1599,1322,1085,99859,99876
28082,491,416,355,39724,39726
28083,1799,1377,1087,108583,108807
28084,1454,1127,852,89769,76537
28085,959,850,699,73641,73724
28086,2697,2233,1956,225618,225891
28087,1552,1283,820,74241,74301
28088,1301,1057,901,94563,94563
28089,1749,1510,1210,129715,130025
28090,492,398,311,22825,22828
28091,1065,858,639,57324,57377
28092,1762,1528,1326,143850,144041
28093,1260,1048,792,66368,66449
28094,1505,1323,1145,96529,96624
28095,1850,1593,1378,188115,188168
28096,1261,1055,883,97320,97334
28097,969,892,786,87048,87297
28098,1512,1266,1117,126187,126200
28099,2143,1824,1548,163758,163773
28100,1075,970,749,92719,92821
28101,1788,1453,1290,133732,133838
28102,1504,1156,1106,135711,110821
28103,1290,1105,674,47979,48069
28104,2061,1865,1038,78069,61036
28105,788,714,547,40865,40895
28106,970,766,566,99037,99086
28107,1065,994,710,69591,69640
28108,695,667,508,26968,26978
28109,644,604,498,30173,23240
28110,713,647,435,48425,48485
28111,1193,1091,748,68312,68343
28112,777,720,550,48591,48593
28113,1840,1700,1188,74218,74235
28114,1006,868,559,52469,41915
28115,1437,1321,967,40665,40685
28116,1163,1111,843,54130,54174
28117,974,872,579,37921,37943
28118,1076,1023,735,56887,56929
28119,793,721,548,105950,105950
28120,640,544,321,18129,18152
28121,1132,990,593,43980,44013
28122,2093,1948,1391,82609,82642
28123,704,679,514,46110,46153
28124,931,831,541,52739,52796
28125,1501,1431,920,116955,117024
28126,706,653,488,36917,36938
28127,586,528,406,37973,37987
28128,1602,1506,1103,122330,122364
28129,1504,1426,1094,100980,101043
28130,1150,1062,864,71665,71666
28131,1209,1133,913,53037,53071
28132,1129,1058,758,54464,54539
28133,589,566,387,23066,23085
28134,919,837,617,48048,48110
28135,901,842,636,46935,46971
